Time_s,Speed_mps
0,0.0
1,0.108
2,0.482
3,0.953
4,1.231
5,1.939
6,2.763
7,3.4
8,4.072
9,4.555
10,5.181
11,5.47
12,5.507
13,5.646
14,5.676
15,5.691
16,6.006
17,6.1
18,6.537
19,6.715
20,6.982
21,7.212
22,7.673
23,7.789
24,7.988
25,8.188
26,8.424
27,8.503
28,8.541
29,8.537
30,8.69
31,8.407
32,8.361
33,8.289
34,8.386
35,8.388
36,8.214
37,8.092
38,8.047
39,8.153
40,8.126
41,8.079
42,7.94
43,8.023
44,7.569
45,6.436
46,4.938
47,3.171
48,1.654
49,0.45
50,0.0
51,0.083
52,0.316
53,0.644
54,1.093
55,1.621
56,2.26
57,3.075
58,3.488
59,4.309
60,4.647
61,5.326
62,5.84
63,6.243
64,6.488
65,6.579
66,6.487
67,6.539
68,6.772
69,6.802
70,6.857
71,7.061
72,7.294
73,7.665
74,7.872
75,8.18
76,8.327
77,8.646
78,8.952
79,9.111
80,9.431
81,9.548
82,9.789
83,9.977
84,10.06
85,10.362
86,10.368
87,10.479
88,10.548
89,10.535
90,10.53
91,10.412
92,10.328
93,10.304
94,10.081
95,10.043
96,9.997
97,9.978
98,10.077
99,9.919
100,9.962
101,9.851
102,8.949
103,8.017
104,6.657
105,5.536
106,4.421
107,3.745
108,3.584
109,3.177
110,2.997
111,2.416
112,1.691
113,0.963
114,0.554
115,0.15
116,0.0
117,0.102
118,0.548
119,0.803
120,1.285
121,2.059
122,2.777
123,3.636
124,4.328
125,4.995
126,5.759
127,6.055
128,6.548
129,6.805
130,6.961
131,6.892
132,7.178
133,7.227
134,7.281
135,7.542
136,7.923
137,8.25
138,8.661
139,9.063
140,9.131
141,9.312
142,9.516
143,10.065
144,10.252
145,10.566
146,10.795
147,11.058
148,11.357
149,11.401
150,11.454
151,11.396
152,11.283
153,11.266
154,11.104
155,11.029
156,10.573
157,10.348
158,9.89
159,9.53
160,9.294
161,9.113
162,9.262
163,8.918
164,8.912
165,8.279
166,7.797
167,6.953
168,6.069
169,5.292
170,4.566
171,4.216
172,3.955
173,3.74
174,3.367
175,2.98
176,2.49
177,1.684
178,0.0
179,0.0
180,0.0
